Index,Name,Color
576,S4040-B,#001870
577,S5040-B,#000050
578,S2050-B,#00409c
579,S3050-B,#001880
580,S4050-B,#000064
581,S4550-B,#000044
582,S1060-B,#0040b0
583,S2060-B,#001898
584,S3060-B,#000070
585,S4010-B10G,#4c708c
586,S6010-B10G,#183c58
587,S0540-B10G,#0098bc
588,S5540-B10G,#00002c
589,S2005-B20G,#9cb8c8
590,S8010-B30G,#000418
591,S2005-B80G,#9cbcc0
592,S0502-G,#e0f0f4
593,S1502-G,#c0d0d4
594,S0505-G,#d8f8ec
595,S1005-G,#c8e4dc
596,S2005-G,#a4c4b8
597,S0510-G,#bcf8dc
598,S1010-G,#a0dcc8
599,S1510-G,#98d0bc
600,S2010-G,#84bca8
601,S0515-G,#a0f8d0
602,S2040-G,#00ac48
603,S4040-G,#00680c
604,S5040-G,#004400
605,S5540-G,#003400
606,S2050-G,#00a424
607,S4050-G,#005800
608,S4550-G,#004400
609,S2060-G,#009800
610,S3010-G10Y,#68a488
611,S4010-G10Y,#508c70
612,S6010-G10Y,#1c5040
613,S0520-G10Y,#80f8b4
614,S1020-G10Y,#6ce0a4
615,S2020-G10Y,#54c084
616,S3020-G10Y,#3ca06c
617,S4020-G10Y,#208854
618,S5020-G10Y,#006434
619,S6020-G10Y,#004818
620,S7020-G10Y,#002800
621,S0530-G10Y,#48f090
622,S1030-G10Y,#3cdc84
623,S2030-G10Y,#18b864
624,S3030-G10Y,#049c4c
625,S4030-G10Y,#007c30
626,S5030-G10Y,#006014
627,S6030-G10Y,#003c00
628,S1040-G10Y,#08d864
629,S3040-G10Y,#009028
630,S1050-G10Y,#00d440
631,S3050-G10Y,#008004
632,S1060-G10Y,#00c814
633,S3060-G10Y,#007c00
634,S3560-G10Y,#005c00
635,S3065-G10Y,#007000
636,S1070-G10Y,#00b800
637,S2005-G20Y,#a8c4bc
638,S0540-G20Y,#24f470
639,S1050-G20Y,#00d844
640,S2070-G20Y,#00a400
641,S0575-G20Y,#00e000
642,S8010-G30Y,#001c08
643,S0550-G30Y,#34f854
644,S0560-G30Y,#1cf838
645,S2005-G50Y,#b4c8b8
646,S2005-G80Y,#bcd0b8
647,S1000-N,#e0e4ec
648,S6000-N,#585868
649,S2002-Y,#c0c4c0
650,S0804-Y10R,#f4f8e8
651,S0505-Y10R,#fcfcec
652,S1005-Y10R,#ececd8
653,S1505-Y10R,#dcdcc8
654,S2005-Y10R,#d0d0bc
655,S0907-Y10R,#f4f4d8
656,S0510-Y10R,#fcfcdc
657,S1010-Y10R,#f4f4c8
658,S1510-Y10R,#e0e0bc
659,S2010-Y10R,#d4d0ac
660,S3010-Y10R,#b8b090
661,S5010-Y10R,#887c60
662,S7010-Y10R,#4c402c
663,S0515-Y10R,#fcfcd0
664,S1015-Y10R,#fcf8c0
665,S1515-Y10R,#ece4b4
666,S0520-Y10R,#fcfccc
667,S1020-Y10R,#fcf4b0
668,S2020-Y10R,#dcd094
669,S3020-Y10R,#c8b87c
670,S0530-Y10R,#fcfcb0
671,S1030-Y10R,#fcf498
672,S2030-Y10R,#ecd480
673,S3030-Y10R,#ccb468
674,S0540-Y10R,#fcfc98
675,S1040-Y10R,#fcfc84
676,S2040-Y10R,#f4d06c
677,S3040-Y10R,#d0ac4c
678,S4040-Y10R,#b08c38
679,S5040-Y10R,#886418
680,S0550-Y10R,#fcfc88
681,S1050-Y10R,#fcfc78
682,S2050-Y10R,#fcd458
683,S3050-Y10R,#d8a83c
684,S4050-Y10R,#b08020
685,S0560-Y10R,#fcfc6c
686,S1060-Y10R,#fcfc5c
687,S2060-Y10R,#fcd040
688,S3060-Y10R,#d8a828
689,S0570-Y10R,#fcfc58
690,S1070-Y10R,#fcfc48
691,S2070-Y10R,#fcd42c
692,S1080-Y10R,#fcfc34
693,S3005-Y20R,#b4b0a0
694,S4020-Y20R,#a89060
695,S5020-Y20R,#907440
696,S6020-Y20R,#6c5024
697,S7020-Y20R,#503410
698,S4030-Y20R,#ac8844
699,S5030-Y20R,#946c30
700,S6030-Y20R,#6c4818
701,S0580-Y20R,#fcf42c
702,S0585-Y20R,#fcfc28
703,S2570-Y30R,#f48c14
704,S4550-Y40R,#a8500c
705,S3005-Y50R,#aca094
706,S8010-Y50R,#2c140c
707,S3005-Y80R,#b4a4a4
708,S3560-Y80R,#a02000
709,S1085-Y80R,#fc4000
710,S0550-Y90R,#fc8468
711,S0570-Y90R,#fc5830
712,S1070-Y90R,#fc4c24
713,S2070-Y90R,#cc2804
714,S2002-R,#c4c0c8
715,S0804-R10B,#f0e4ec
716,S0505-R10B,#f4e8f0
717,S1005-R10B,#e8dce4
718,S2005-R10B,#c0b4c4
719,S0907-R10B,#e8d8e0
720,S0510-R10B,#fce4e8
721,S1010-R10B,#e4ccd8
722,S1510-R10B,#d4bcc8
723,S2010-R10B,#c8b0bc
724,S3010-R10B,#a8909c
725,S5010-R10B,#745c68
726,S7010-R10B,#401c28
727,S0515-R10B,#fcd8dc
728,S1015-R10B,#e8c4c8
729,S1515-R10B,#d4b0bc
730,S0520-R10B,#fcc8cc
731,S1020-R10B,#ecb8bc
732,S2020-R10B,#cc989c
733,S3020-R10B,#b07c80
734,S4020-R10B,#905c68
735,S5020-R10B,#784048
736,S6020-R10B,#582430
737,S7020-R10B,#2c0008
738,S0530-R10B,#fcb0bc
739,S1030-R10B,#eca0a8
740,S2030-R10B,#cc7c88
741,S3030-R10B,#ac5c68
742,S4030-R10B,#90444c
743,S5030-R10B,#702830
744,S6030-R10B,#400004
745,S1040-R10B,#f08488
746,S2040-R10B,#d06468
747,S3040-R10B,#b04448
748,S4040-R10B,#8c2828
749,S5040-R10B,#580000
750,S1050-R10B,#f46c6c
751,S2050-R10B,#cc484c
752,S3050-R10B,#a8242c
753,S4050-R10B,#700004
754,S2060-R10B,#c82828
755,S3060-R10B,#980808
756,S3005-R20B,#a89cac
757,S0502-R50B,#ececfc
758,S1002-R50B,#d8d8f0
759,S1502-R50B,#c8c8e0
760,S2002-R50B,#b8b8d0
761,S3005-R50B,#9890b4
762,S8010-R50B,#04001c
763,S3005-R80B,#8c98b4
764,S0907-R90B,#bcd4ec
765,S0510-R90B,#b8d8f4
766,S1010-R90B,#a4c0e8
767,S2010-R90B,#8ca8c8
768,S1015-R90B,#90b8e4
769,S1515-R90B,#80a8d4
770,S3560-R90B,#00007c
771,S2065-R90B,#0000ac
772,S2002-B,#acb8cc
773,S3010-B10G,#6088a4
774,S5010-B10G,#305470
775,S7010-B10G,#00203c
776,S0520-B10G,#68c8dc
777,S1020-B10G,#50b4c8
778,S2020-B10G,#3c90b0
779,S3020-B10G,#28749c
780,S4020-B10G,#105880
781,S5020-B10G,#003c64
782,S6020-B10G,#001c48
783,S7020-B10G,#000428
784,S0530-B10G,#28b0c8
785,S1030-B10G,#189cbc
786,S2030-B10G,#0c80a8
787,S3030-B10G,#006088
788,S4030-B10G,#004070
789,S5030-B10G,#002854
790,S6030-B10G,#000434
791,S1040-B10G,#0088ac
792,S2040-B10G,#006498
793,S3040-B10G,#004478
794,S4040-B10G,#00245c
795,S5040-B10G,#00083c
796,S5045-B10G,#000024
797,S1050-B10G,#0068a0
798,S2050-B10G,#004884
799,S3050-B10G,#00306c
800,S4050-B10G,#000c48
801,S2055-B10G,#003874
802,S3060-B10G,#001450
803,S3005-B20G,#7c98a8
804,S5540-B20G,#000814
805,S0540-B30G,#00aca4
806,S8010-B50G,#000c18
807,S3005-B80G,#88a8a4
808,S2002-G,#b4c0c4
809,S0507-G,#ccf8e8
810,S1015-G,#8ce4bc
811,S1515-G,#78d0a8
812,S0505-G10Y,#e0f8f0
813,S1005-G10Y,#c8e4dc
814,S2005-G10Y,#a8c4bc
815,S0510-G10Y,#c4f8e0
816,S1010-G10Y,#a4e0c4
817,S2010-G10Y,#8cc4a8
818,S5010-G10Y,#346c54
819,S7010-G10Y,#043828
820,S2040-G10Y,#00b440
821,S4040-G10Y,#007010
822,S5040-G10Y,#004c00
823,S5540-G10Y,#003000
824,S2050-G10Y,#00a820
825,S4050-G10Y,#005c00
826,S4550-G10Y,#004c00
827,S2060-G10Y,#009c00
828,S3005-G20Y,#8ca8a0
829,S3010-G20Y,#70a48c
830,S0520-G20Y,#94f8b8
831,S1020-G20Y,#7ce4a4
832,S2020-G20Y,#64c488
833,S3020-G20Y,#4ca870
834,S0530-G20Y,#58f490
835,S1030-G20Y,#50e080
836,S2030-G20Y,#30b864
837,S3030-G20Y,#149c48
838,S1040-G20Y,#24dc60
839,S3040-G20Y,#009c28
840,S1050-G20Y,#00d844
841,S3050-G20Y,#00900c
842,S1060-G20Y,#00d418
843,S3060-G20Y,#008400
844,S3560-G20Y,#006c00
845,S1070-G20Y,#00d000
846,S2570-G20Y,#008c00
847,S1075-G20Y,#00c800
848,S2075-G20Y,#009c00
849,S4020-G30Y,#3c8854
850,S5020-G30Y,#246c3c
851,S6020-G30Y,#0c5020
852,S7020-G30Y,#002c04
853,S4030-G30Y,#1c8834
854,S5030-G30Y,#00641c
855,S6030-G30Y,#004404
856,S0540-G30Y,#4cf870
857,S0570-G30Y,#00f818
858,S0580-G30Y,#00f400
